therm_pwplant_no,therm_pwplant_nm,therm_pwplant_addr,therm_pwplant_fnds_ix,wnty_fnds_ix,therm_pwplant_fnds_rt
21,태안화력발전소,충청남도 태안군 원북면 발전로 457,17.369,16.867,1.030
28,남제주화력발전소,제주특별자치도 서귀포시 안덕면 해안로106번길 55,16.523,16.867,0.980
5,대산복합화력발전소,충남 서산시 대산읍 독곶1로 82,18.466,16.867,1.095
33,영흥발전본부,인천광역시 옹진군 영흥면 영흥남로293번길 75,16.523,16.867,0.980
45,서천화력발전소,충청남도 서천시 서면 서인로235번길 85,17.317,16.867,1.027
42,보령화력발전소,충청남도 보령시 오천면 오천해안로 89-37,17.260,16.867,1.023
49,신보령화력발전소,충청남도 보령시 주교면 송도길 201,17.260,16.867,1.023
37,당진화력발전소,충청남도 당진시 석문면 교로길 30,16.523,16.867,0.980
46,제주화력발전소,제주특별자치도 제주시 원당로 133,16.806,16.867,0.996
17,인천LNG복합발전소,인천광역시 서구 중봉대로405번길 314,17.049,16.867,1.011
43,인천복합화력발전소,인천광역시 서구 중봉대로405번길 411,17.049,16.867,1.011
23,서인천복합화력발전소,인천광역시 서구 장도로 57,16.688,16.867,0.989
26,신인천복합화력발전소,인천광역시 서구 장도로 57,16.688,16.867,0.989
24,군산복합화력발전소,전라북도 군산시 구암 3.1로 91-5,23.120,16.867,1.371
7,부천열병합발전소,경기도 부천시 오정구 삼정동 363-3,14.309,16.867,0.848
2,나주열병합발전소,전라남도 나주시 산포면 신도산단길 65 (신도리 1304),15.099,16.867,0.895
3,당진복합화력발전소,충남 당진시 송악읍 부곡공단로 241,18.846,16.867,1.117
22,평택화력발전소,경기도 평택시 포승읍 남양만로 175-2,18.408,16.867,1.091
9,안산복합화력발전소,경기도 안산시 단원구 원시동 839,17.650,16.867,1.046
41,일산열병합발전소,경기도 고양시 일산동구 경의로 201,15.077,16.867,0.894
18,파주천연가스발전소,경기도 파주시 파주읍 봉암리 500-3,16.470,16.867,0.976
44,서울화력발전소,서울특별시 마포구 토정로 56,16.773,16.867,0.994
15,오성복합화력발전소,경기도 평택시 오성면 서동대로 2427-177,17.333,16.867,1.028
10,안양열병합발전소,경기도 안양시 동안구 평안동 부림로 100,18.477,16.867,1.095
14,오산열병합발전소,경기도 오산시 황새로 149번길 55 (누읍동),16.952,16.867,1.005
11,양주열병합발전소,경기 양주시 옥정동 1024,13.369,16.867,0.793
6,동두천복합화력발전소,경기도 동두천시 광암동 256,13.940,16.867,0.826
8,분당복합화력발전소,경기도 성남시 분당구 분당동 분당로 336,19.516,16.867,1.157
34,분당발전본부,경기도 성남시 분당구 분당로 336,19.516,16.867,1.157
20,포천천연가스발전소,포천시 경기도 신북면 계류리 607-5번지,16.450,16.867,0.975
19,포천복합화력발전소,경기도 포천시 창수면 포천로 2797번길 17,16.523,16.867,0.980
48,세종천연가스발전소,세종특별자치시 금송로 625,14.681,16.867,0.870
16,율촌복합화력발전소,전라남도 광양시 광양읍 세풍리 2199,16.506,16.867,0.979
36,여수발전본부,전라남도 여수시 여수산단로 727,14.894,16.867,0.883
39,호남화력발전소,전라남도 여수시 여수산단로 1203,17.512,16.867,1.038
1,광양복합화력발전소,전라남도 광양시 제철로 2148-567,16.615,16.867,0.985
25,하동화력발전소,경상남도 하동군 금성면 경제산업로 509,16.456,16.867,0.976
47,원주그린열병합발전소,강원도 원주시 지정면 신평로 2,16.392,16.867,0.972
32,삼천포발전본부,경상남도 고성군 하이면 하이로 1,16.523,16.867,0.980
29,영월복합화력발전소,강원도 영월군 영월읍 중앙로 411,16.030,16.867,0.950
31,안동복합화력발전소,경상북도 안동시 풍산읍 산업단지1길 38,16.523,16.867,0.980
35,영동발전본부,강원도 강릉시 강동면 염전길 99,16.436,16.867,0.974
27,부산복합화력발전소,부산광역시 사하구 감천항로 7,16.061,16.867,0.952
4,북평화력발전소,강원도 동해시 공단 2로 15-5(구호동),14.348,16.867,0.851
40,동해화력발전소,강원도 동해시 공단9로 145,14.348,16.867,0.851
30,삼척그린파워발전소,강원도 삼척시 원덕읍 삼척로 734,16.523,16.867,0.980
38,울산화력발전소,울산광역시 남구 용잠로 623,18.927,16.867,1.122
13,영남화력발전소,울산 남구 매암동 28-10,19.183,16.867,1.137
12,영남파워,울산광역시 남구 매암동 3-6,19.183,16.867,1.137
